id,A,B,C,label
1,a_1,b_1,c_1,0
2,a_2,b_2,c_1,1
3,a_2,b_3,c_2,0
4,a_3,b_3,c_3,1
5,a_3,b_1,c_4,1
6,a_4,b_4,c_4,0
7,a_4,b_5,c_5,1
8,a_5,b_5,c_6,0
9,a_5,b_1,c_7,0
10,a_6,b_6,c_7,0
11,a_6,b_7,c_8,0
12,a_7,b_7,c_9,0
13,a_7,b_1,c_10,0
14,a_8,b_8,c_11,0
15,a_9,b_9,c_12,1
16,a_10,b_10,c_13,1
17,a_11,b_11,c_14,1
18,a_12,b_12,c_15,0
19,a_13,b_13,c_16,1
20,a_14,b_14,c_17,0
21,a_15,b_15,c_18,0
22,a_16,b_16,c_19,1
23,a_17,b_17,c_20,1
24,a_18,b_18,c_21,1
25,a_19,b_19,c_22,1
26,a_20,b_20,c_23,1
27,a_21,b_21,c_24,0
28,a_22,b_22,c_25,0
29,a_23,b_23,c_26,1
30,a_24,b_24,c_27,0
